Domain,Classification,Company Name,Company Website
012mail.net,ISP,012 Smile Telecom Ltd.,012.net
trbvm.com,Disposable,10 Minute Mail,10minutemail.com
123-email.com,Webmail,"JMS Internet,",123-email.com
126.com,Webmail,126,126.com
mail.163.com,ISP,NetEase,163.com
yeah.net,Webmail,NetEase,163.com
vip.163.com,Webmail,Netease Company,163.com
163.com,Webmail,NetEase,163.com
1963chevrolet.com,Webmail,1963 Chevrolet.com,1963chevrolet.com
1963pontiac.com,Webmail,1963 Pontiac,1963pontiac.com
webmailer.1und1.de,ISP,1&1,1und1.de
private.21cn.com,Webmail,21 CN,21cn.com
mail.3dup.com,Webmail,3Dup.com,3dup.com
4degreez.com,Webmail,4degreez.com,4degreez.com
besser-als-du.de,Webmail,5x2.de,5x2.de
ohne-drogen-gehts.net,Webmail,5x2.de,5x2.de
ist-der-mann.de,Webmail,ViWa Invest,5x2.de
ist-der-wahnsinn.de,Webmail,ViWa Invest,5x2.de
ist-echt.so,Webmail,ViWa Invest,5x2.de
ist-genialer.de,Webmail,ViWa Invest,5x2.de
ist-schlauer.de,Webmail,ViWa Invest,5x2.de
ist-supersexy.de,Webmail,ViWa Invest,5x2.de
istecht.so,Webmail,ViWa Invest,5x2.de
mag-spam.net,Webmail,ViWa Invest,5x2.de
scheint.so,Webmail,ViWa Invest,5x2.de
staatsterrorist.de,Webmail,ViWa Invest,5x2.de
5x2.de,Webmail,ViWa Invest GmbH,5x2.de
kann.so,Webmail,ViWa Invest GmbH,5x2.de
unendlich-schlau.de,Webmail,ViWa Invest GmbH,5x2.de
mega-schlau.de,Webmail,5x2.de,5xe.de
8-0.net,Webmail,ZLOK,8-0.net
8u8.hk,Webmail,Hong Kong IT Alliance,8u8.hk
8u8.tw,Webmail,Hong Kong IT Alliance,8u8.tw
stampmail.com,Webmail,StampMail,948702.svc.e1m.net
aon.at,ISP,Telekom Austria AG,a1.net
x-mail.net,Webmail,Aaex Corp,aaex.com
xmail.net,Webmail,Aaex Corp,aaex.com
stu.aii.edu,Education,The Art institutes,aai.edu
aanet.com.au,ISP,aaNet Communications,aanet.com.au
aapt.com.au,ISP,AAPT,aapt.com.au
abv.bg,Webmail,Net Info Corp,abv.bg
achs.edu,Education,American College of Healthcare Sciences,achs.edu
acn.net,ISP,ACN,acninc.com
acninc.net,ISP,ACN,acninc.com
myacu.edu.au,Education,Australian Catholic University,acu.edu.au
adam.com.au,ISP,Adam Internet,adam.com.au
qsl.net,Webmail,QSL.net,admin.qsl.net
aeneasmail.com,ISP,Aeneas Internet and Telephone,aeneas.net
aug.com,Webmail,Old City Web Services,aetherius.aug.com
afri-com.net,ISP,Africom,afri-com.net
ahsa.ws,Paid,"Global Domains International, Inc",ahsa.ws
aic.wa.edu.au,Education,Australian Islamic College,aic.wa.edu.au
aim.com,Webmail,AOL,aim.com
aklan.com,Paid,Aklan Dot Com,aklan.com
aknet.kg,ISP,Aknet,aknet.kg
enterate.com.ar,ISP,Alaska IT Solutions,alaska.com.ar
alaska.edu,Education,University of Alaska System,alaska.edu
acsalaska.net,ISP,Alaska Communications,alaskacommunications.com
alavatotal.com,Webmail,Alava Total!,alavatotal.com
albafind.com,Webmail,AlbaFind,albafind.com
albany.edu,Education,University at Albany,albany.edu
aldeax.com,Webmail,aldeax.com,aldeax.com
aliasmail.de,Webmail,AliasMail,aliasmail.de
alinto.com,ISP,Alinto,alinto.com
aliyun.com,ISP,Alibaba Cloud Computing Ltd,aliyun.com
webmail.all-inkl.com,ISP,ALL-INKL.COM,all-inkl.com
allin1.com,Webmail,ALLIN1.com,allin1.com
altaddress.com,Webmail,AltAddress.com,altaddress.com
